Country Name,Country Code,2022 [YR2022] - GDP (current US$) [NY.GDP.MKTP.CD],"2022 [YR2022] - Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]",2022 [YR2022] - Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],2022 [YR2022] - Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],"2022 [YR2022] - Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","2022 [YR2022] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","2022 [YR2022] - Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]",2022 [YR2022] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD]
Afghanistan,AFG,14502158192.0904,57.7,18.3800424016375,54.5054272070161,9.40623933931322,62.879,4.523,372.615894847401
Albania,ALB,18916378860.5488,9.4,37.395422208546,47.7542583145142,9.86601343108215,76.833,1.376,5155.29085964151
Algeria,DZA,225560256621.757,21.8,31.4468558130383,20.3943509800654,22.8860752407762,77.129,2.829,4602.57560847786
American Samoa,ASM,871000000,..,46.9575200918485,77.7267508610792,14.1527648578811,..,..,14969.0599426218
Andorra,AND,3380602042.84283,2.7,..,..,4.23599022878203,..,..,39720.951858885
Angola,AGO,104399746853.401,66.9,44.3996170780022,25.2994284109634,13.7098475207842,61.929,5.209,2385.11995566245
Antigua and Barbuda,ATG,1867733333.33333,9.5,54.689582143537,62.9404229329272,6.49885619566375,79.236,1.58,17335.047039518
Argentina,ARG,631133384439.944,9.4,16.2995616770379,15.3509522986127,69.4712395512144,76.064,1.876,12940.7384352157
Armenia,ARM,19513474648.2429,10.3,50.0136476951451,50.9928446789957,7.98570196971615,73.372,1.575,5116.2057562944
Aruba,ABW,3544707788.05664,..,83.1246052910135,77.3346519395464,3.41284225233898,74.992,1.179,32492.1788775214
Australia,AUS,1692956646855.7,3.8,25.4271241344048,19.7096203060062,7.12307572259287,83.2,1.63,60972.8703431498
Austria,AUT,470941926750.741,3.2,62.0831749838848,61.6022637210822,5.29728373412017,81.0926829268293,1.41,46697.8565193913
Azerbaijan,AZE,78807470588.2353,18.1,59.9868480668076,26.9954251873703,37.2705611565603,73.488,1.67,5595.25578671563
"Bahamas, The",BHS,13136400000,12.9,39.4270880911056,43.7471453366219,4.30104615816353,74.358,1.38,29477.2358532721
Bahrain,BHR,44383297872.3404,6.5,..,..,7.69906735801398,79.246,1.797,24353.0732609115
Bangladesh,BGD,460131688909.301,28.8,12.8822264348985,20.897740835675,5.04902187883131,73.698,1.95,1785.36131679937
Barbados,BRB,5840673700,10.9,34.2820015780029,42.1781454766083,4.07580648343971,77.706,1.634,16947.3822144798
Belarus,BLR,73775179924.603,2.6,63.0511868938428,56.973020682251,14.884680385365,73.1114634146342,1.495,6206.6488548556
Belgium,BEL,583613982019.263,3.7,95.7022354373412,97.3309032237925,5.89170297905721,81.6975609756098,1.53,44198.1960002523
Belize,BLZ,2830507575.6841,10.9,52.3749558700201,55.5757284622893,7.36483425999626,70.962,1.989,6191.66283746796
Benin,BEN,17425418044.2906,80.8,21.6532095498925,29.2803105204475,4.13878000011482,59.954,4.895,1255.60729255385
Bermuda,BMU,7827980000,..,50.463452895894,25.0477390080199,0.938226826481198,81.571,1.3,112431.384133779
Bhutan,BTN,2898227713.22315,23.7,25.7916518355066,60.1385173325092,5.79486005151392,72.229,1.398,3336.37629915679
Bolivia,BOL,44008282879.8842,23.9,32.6115548527874,35.1443439153378,5.12446443182509,64.928,2.584,3134.76632143947
Bosnia and Herzegovina,BIH,24534663636.1778,6,48.1258841642514,61.8839303959771,11.8088401064015,75.293,1.346,6270.85848741206
Botswana,BWA,20321958850.0363,38.7,43.5418799471132,42.0664228333796,14.6175509748138,65.913,2.754,6641.56980740549
Brazil,BRA,1951923942083.32,14,19.6307650034371,19.1853009729027,8.5702819532232,73.425,1.626,8822.04504268033
British Virgin Islands,VGB,..,13.1,..,..,..,76.373,1.015,..
Brunei Darussalam,BRN,16681536466.7183,9.7,86.3893568836847,60.5846089959126,24.2367268387765,74.551,1.764,28954.0640896097
Bulgaria,BGR,90346169914.9349,6.1,69.1940036628315,68.9888257228862,16.1819558948452,74.3609756097561,1.78,9550.94254965707
Burkina Faso,BFA,18820219331.2261,78.8,31.5344130182468,33.0990299075644,5.8891253677839,59.766,4.665,735.998131899835
Burundi,BDI,3338722827.65691,50.5,4.9710985076333,23.3442218510957,18.3317223148693,61.977,4.98,262.184804661597
Cabo Verde,CPV,2303738020.15148,12.3,39.7330586126247,56.2432628399581,7.54711051559526,74.722,1.879,3551.24824187234
Cambodia,KHM,29504829319.3169,23.7,68.3352522968929,54.8518801235756,4.07039106451663,69.896,2.322,1488.81455084105
Cameroon,CMR,43644068310.851,69.8,19.2914840833134,21.9954068209895,5.33661200458351,60.958,4.383,1441.79490497622
Canada,CAN,2161483369422.01,4.9,33.8450475582139,33.713848808281,7.65381992676227,81.2956097560976,1.33,45227.1447354204
Cayman Islands,CYM,6600844001.53721,..,..,..,3.58324800679313,..,..,82929.3037994227
Central African Republic,CAF,2382618615.01694,96.8,12.3004999986493,32.9330700029707,5.9679244498741,54.477,5.918,364.690753380729
Chad,TCD,12396807590.173,102.9,49.3201339326375,40.4028154323885,15.145121891457,52.997,6.215,593.771929638929
Channel Islands,CHI,11228317318.7652,..,..,..,4.33644677454623,81.583,1.469,..
Chile,CHL,302116539409.03,6.3,35.515107072528,39.4726731414487,7.91378346570282,79.519,1.539,14235.3616274723
China,CHN,17881783387000.9,6.6,20.7914822486501,17.5599983266441,1.78570164213482,78.587,1.175,11560.2421221334
Colombia,COL,345329875078.512,12.4,20.2324003888988,27.8415774759813,14.8665745551143,73.659,1.692,6836.22873742474
Comoros,COM,1242519407.77603,48.2,12.7160796545449,35.0656469520052,5.16263689431344,63.68,3.912,1362.77802212059
"Congo, Dem. Rep.",COD,65801547619.5974,75.6,45.4979499673434,48.2307171126315,10.1064172353738,59.743,6.106,528.788834504898
"Congo, Rep.",COG,15817030156.9459,41.6,63.8121468562925,34.3491898359076,18.2608987808466,63.053,4.095,1704.26748419599
Costa Rica,CRI,69243626028.5936,7.7,40.5665549762927,39.092640355884,6.28038513680281,77.32,1.522,13424.464701378
Cote d'Ivoire,CIV,70173140101.4315,69.4,24.5266423324517,28.9045767745794,2.08589858906348,58.916,4.342,2399.69993821474
Croatia,HRV,71997070660.4835,4.6,58.8371599790568,64.9880967229582,8.5535871319272,77.5756097560976,1.53,16712.0360519694
Cuba,CUB,..,8,40.0139049760333,48.7891320172335,14.1554019623172,78.155,1.449,7449.68287994077
Curacao,CUW,3073840325.43285,..,..,..,3.98517145505097,..,1.3,17391.6157780585
Cyprus,CYP,29250532020.0746,3.5,95.0377110559096,94.7197465529035,6.06563368693452,81.889,1.311,30556.71875
Czechia,CZE,290565654835.809,2.6,76.4523242521964,75.4707339692595,8.54735078948028,79.0292682926829,1.61774660294866,20237.2945527073
Denmark,DNK,400167196948.707,3.5,70.0123894394154,58.9172745882207,8.06696246588223,81.3048780487805,1.55,60345.5573176803
Djibouti,DJI,3674298479.07676,51.9,169.000456477795,171.193558162328,4.61922015773493,62.859,2.757,2968.25154583978
Dominica,DMA,607159259.259259,32.2,..,..,3.56303629768684,72.981,1.588,7335.19475752488
Dominican Republic,DOM,113537368176.13,32.4,22.0627315413808,32.1687940178649,10.7141556508469,74.17,2.247,8732.08073884782
Ecuador,ECU,116586079000,12.2,30.7865967428238,30.8350656513631,2.19571108300103,77.894,2.003,6087.53527916046
"Egypt, Arab Rep.",EGY,476747720364.742,18.1,15.0870258208479,21.8960790564233,10.4257892435745,70.159,2.878,4088.89704539565
El Salvador,SLV,31988920000,11.9,31.665057776255,56.4896845532766,7.143242839221,71.475,1.785,4310.91079863158
Equatorial Guinea,GNQ,13486788878.9757,73.4,57.2376192975686,34.5587123737547,19.7373951042553,61.19,4.17,5976.90010750037
Eritrea,ERI,..,36.6,..,..,..,66.604,3.786,..
Estonia,EST,37921480881.5429,1.9,85.7817438098806,86.3113993700671,16.0703251349216,77.9439024390244,1.41,21140.9972199425
Eswatini,SWZ,4790922788.70864,50,43.8311559556415,47.5918138966305,8.79506541980444,56.36,2.785,4012.94044961743
Ethiopia,ETH,126772703047.701,46.2,8.24396237462472,18.3515388544611,34.6673530169267,65.645,4.063,857.34870016285
Faroe Islands,FRO,3555929833.05051,..,62.3981114603991,62.5145555056573,3.8890421268988,83.3,2.0497,59699.2008265596
Fiji,FJI,4979979531.2725,28.2,48.0727753698823,69.1865951772266,2.47256172027861,68.312,2.462,5313.02843815538
Finland,FIN,281887430795.721,2.3,45.4164752117211,47.8091950673735,5.3837965244615,81.1878048780488,1.32,46655.1653624268
France,FRA,2779092236505.85,4.1,34.686399716266,38.5634528845527,2.94721692911406,82.2292682926829,1.794,38816.4792795643
French Polynesia,PYF,5814661208.90544,..,21.096822594212,46.1341436614809,1.79361104875255,83.55,1.688,19262.6131998341
Gabon,GAB,21071739227.9422,38.8,61.3838511314544,16.5608300940968,13.855464991116,65.694,3.46,6637.06610644966
"Gambia, The",GMB,2175099789.97829,45.6,4.61530424157755,30.9691882901626,8.64227752221325,62.906,4.586,688.65279140169
Georgia,GEO,24984568959.605,9.3,52.4788792204227,62.2165584682954,8.13545014384806,71.587,2.063,5736.30449578597
Germany,DEU,4082469490797.68,3.6,50.9239297257281,48.9564100381499,5.26832542370153,80.7056097560976,1.455,43361.1771204321
Ghana,GHA,74263364041.8742,42.3,34.6640435533587,35.451412242532,28.1682478691229,63.945,3.507,2046.00761866575
Gibraltar,GIB,..,..,..,..,..,82.83,1.837,..
Greece,GRC,217581324512.059,3.9,49.1368296393821,58.859974393428,7.84684474420834,80.6365853658537,1.43,20287.7253030767
Greenland,GRL,..,..,..,..,..,71.5404878048781,1.839,..
Grenada,GRD,1224577777.77778,16,..,..,1.62494161129776,75.335,1.986,8766.93096365395
Guam,GUM,6910000000,..,7.88712011577424,63.9797395079595,5.46517905025054,78.33,2.55,33298.6992992559
Guatemala,GTM,95003330315.8754,22.1,19.0155395632265,35.6544175752575,6.22430348653305,68.674,2.354,4504.12922283915
Guinea,GIN,20999229260.4995,96,43.6701925605735,63.8074675861835,10.9921489980271,58.985,4.303,994.436997185642
Guinea-Bissau,GNB,1714166526.44573,71.9,21.0509825780844,30.3686398036714,7.30003423870163,59.861,3.925,736.932210638485
Guyana,GUY,14718388489.2086,26.6,..,..,11.9882993176737,65.989,2.369,17646.2159234068
Haiti,HTI,20253551920.5516,56.5,7.23876011586942,29.2907901679586,30.2012918564443,63.728,2.773,1247.89238171765
Honduras,HND,31426041806.7985,16,42.4391817948962,70.2593431190701,9.31239503002736,70.728,2.34,2489.60233644241
"Hong Kong SAR, China",HKG,358696261481.16,..,194.477448293048,190.385746324446,1.69019081164635,83.6609756097561,0.701,43283.0159019674
Hungary,HUN,177006128624.627,4,90.4153697462384,94.8557434703851,14.2313411581322,76.0170731707317,1.52,16345.3110870432
Iceland,ISL,28701830401.6837,2.6,45.7799740631457,45.9425344372337,8.85291252628349,82.1707317073171,1.589,57816.3616576004
India,IND,3353470496885.95,29.1,23.2004878372124,26.7648321318258,6.7475130832006,67.744,2.011,2098.22093124628
Indonesia,IDN,1319076267310.16,21.3,24.5037442007268,20.9621544809476,9.56668684525337,68.25,2.153,4073.55834962073
"Iran, Islamic Rep.",IRN,413394567603.552,12,26.8158865548081,24.7816202562159,50.585248062505,74.556,1.681,5507.53339500769
Iraq,IRQ,286640340965.517,23.5,..,..,26.9938337592176,71.336,3.445,4357.86592653341
Ireland,IRL,533140011838.276,3.1,137.087781434496,97.1795714280965,6.58226428309383,83.0560975609756,1.7,97316.8775085729
Isle of Man,IMN,..,..,..,..,..,80.762,1.571,..
Israel,ISR,525002447652.773,3.4,31.7283799087485,28.7759756546983,4.62330721703144,82.7,2.89,42710.7782216294
Italy,ITA,2066972096553.7,2.6,36.5074016512148,38.1371883619182,3.60458016609203,82.9,1.24,33364.1090461331
Jamaica,JAM,17097760686.7775,18.8,..,..,12.7978003814515,70.629,1.34,5236.79024419576
Japan,JPN,4256410760723.75,2.3,21.5417231170208,25.3020090221706,0.333979877221765,83.9963414634146,1.26,36202.639274898
Jordan,JOR,48653381830.9859,14.1,..,..,2.60053385134165,74.215,2.786,3891.21222579832
Kazakhstan,KAZ,225496328925.494,9.7,41.7812771063673,26.3323490057027,19.7690064802492,74.44,3.05,11283.4160946866
Kenya,KEN,113419826113.903,41.1,12.215242879819,21.5143076851726,6.00876413290523,62.055,3.296,1754.58548035889
Kiribati,KIR,270520731.599041,56.4,7.26019102564103,93.8772958974359,-2.46382189239333,67.661,3.271,1942.69806649544
"Korea, Dem. People's Rep.",PRK,..,17,..,..,..,73.578,1.793,..
"Korea, Rep.",KOR,1673916511799.71,2.8,48.2717642210409,48.2646450676456,1.27552257409207,82.6804878048781,0.778,33690.3788793046
Kosovo,XKX,9354903061.8898,9.5,38.6256570148792,71.3863746043466,7.19871121772341,79.524,1.51,4666.41775009447
Kuwait,KWT,182809482400.924,8.6,..,..,23.3397368254685,80.264,2.092,27953.3394253627
Kyrgyz Republic,KGZ,12134931017.9465,17.3,29.9440526063033,87.4494462179864,19.6572842421774,72.0487804878049,2.8,1212.23374048823
Lao PDR,LAO,15468785203.7532,40.4,..,..,15.7739459226011,68.999,2.448,2599.2048876829
Latvia,LVA,40422521943.4418,3.2,72.8935254757134,77.4803420824267,11.8012689904466,74.580487804878,1.47,17014.6190935484
Lebanon,LBN,20992421948.8081,17.4,34.8287792460469,80.0594990196196,112.149478998819,74.416,2.08,6183.24391454255
Lesotho,LSO,2289355249.40148,72.2,47.2244186111779,98.5190499104883,3.94939212902999,53.036,2.98,952.252837819612
Liberia,LBR,4001047000,73.2,..,..,8.66620792217219,61.1,4.016,646.501161656649
Libya,LBY,55938727098.0174,10.3,68.0912730518424,43.5815522697263,23.1599622328023,72.151,2.402,10140.7381704001
Liechtenstein,LIE,7364654515.13984,..,..,..,..,84.319512195122,1.47,..
Lithuania,LTU,71013953448.2085,3.5,86.7990151985414,88.8065174521046,16.5587321367351,75.7926829268293,1.27,18535.0779663478
Luxembourg,LUX,81641807865.7591,2.7,211.278205574688,177.235462859059,5.68354663317177,83.0463414634146,1.31,109714.924316129
"Macao SAR, China",MAC,24464719190.0616,..,86.1276246369981,87.4894203625712,1.25625432992071,85.377,1.109,32503.6038302382
Madagascar,MDG,15302510500.0528,65.8,30.3737702511328,39.2309017250689,8.33090398854289,65.23,3.791,453.858147011652
Malawi,MWI,13129458325.7379,40.1,..,..,21.7715165604169,62.898,3.849,554.198577201705
Malaysia,MYS,407027451714.616,7.8,76.9501497302441,69.7136366403792,6.44575315517532,76.26,1.787,11399.397137351
Maldives,MDV,6170638746.31376,5.6,..,..,3.1938627022308,80.839,1.678,11035.5824700841
Mali,MLI,18780322203.7584,93.8,28.993852232951,39.732606413696,5.72783445978014,59.417,5.867,747.152926472819
Malta,MLT,18357069272.7682,5.6,165.987107779132,152.682890977974,5.26155210619605,82.7,1.15,30760.6355007204
Marshall Islands,MHL,258774475.097656,28.6,46.2726141874507,73.6703554752263,1.06661444719651,65.146,2.672,5313.44482697912
Mauritania,MRT,9744039514.55646,39.2,49.3333018262165,55.0124590450616,1.83593336515511,64.691,4.342,1616.98180328468
Mauritius,MUS,12927979286.0453,15,55.3543979803709,62.8784616084903,9.56592045515518,73.5146341463415,1.32,10570.4275252848
Mexico,MEX,1463323889036.56,12.8,42.761030737711,45.6874453307709,6.442142222158,74.832,1.803,10078.6025419466
"Micronesia, Fed. Sts.",FSM,430000000,24.2,21.0385813953488,63.7985581395349,11.1211664152841,70.925,2.669,2923.22295188222
Moldova,MDA,14510490660.2516,14.2,41.2404935723512,69.4934719856075,19.2532036308322,68.621,1.8,3581.71972547709
Monaco,MCO,8784002931.68665,2.8,..,..,2.94812081629597,..,..,228667.935282559
Mongolia,MNG,17146471713.748,13.4,65.0613511558615,71.2665787886548,17.7147124177501,72.667,2.774,4249.67501406205
Montenegro,MNE,6229801580.79157,2.7,51.5328616489687,74.3657429805244,12.3553221508805,76.1878048780488,1.8,7889.23763310614
Morocco,MAR,130912558829.84,17.3,44.8096391556492,56.3062433184629,3.0515118903607,74.973,2.299,3300.7998046875
Mozambique,MOZ,18406835494.9468,66.2,52.5438275653088,83.0166100483244,6.40094835922498,59.625,4.561,590.368908379987
Myanmar,MMR,62253049891.6449,40.1,..,..,6.16371648905898,67.256,2.127,1165.60552269408
Namibia,NAM,12567271004.6761,37.9,40.3451238393858,58.7630360048845,6.44785295155228,58.059,3.248,4394.39709939339
Nauru,NRU,153824609.470517,26.5,54.7169811320755,113.207547169811,-11.6931375486959,64.014,3.463,7861.68347811258
Nepal,NPL,41182939600.67,27.3,6.70239086588436,42.271010614,8.24119195323605,70.484,2.008,1083.22037768939
Netherlands,NLD,1009398719033.08,3.9,93.752223412679,82.9595565797888,5.53522393876365,81.7146341463415,1.487,50546.7893728169
